id|nat|tipo|materia|nomeNovo
241|04 - Pessoal e financeiro||Comprovantes e recibos|FGC consulta conta vinculada ECT tarcisio aquino quintao 2008
242|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca processo 2006.38.00.015454-0 execucao diversa tributaria 2006
243|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
244|04 - Pessoal e financeiro||Documentos pessoais|Contrato trabalho ECT antonio marcos castro 45 dias experiencia
245|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
246|01 - Juridico|Outros processuais|Eleitoral|Relatorio consulta processos prefeito 2012
247|03 - Administrativo||Listas e planilhas|Registro log caratorio upload confirmacao brazopolis 2014
248|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
249|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
250|01 - Juridico|Recursos|Administrativo|Sentenca mandado seguranca 84598-16.2010.4.01.3800 dnit
251|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca acao ordinaria 34162-53.2010.4.01.3800 suspensao jose carlos oliveira
252|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
253|03 - Administrativo||Listas e planilhas|Registro log caratorio upload confirmacao brazopolis 2015
254|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
255|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
256|01 - Juridico|Outros processuais|Civel|Fase preparatoria processo civile beatrice ficcarelli
257|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
258|01 - Juridico|Acordaos e decisoes|Civel|Sentenca embargos declaracao autos 56189-30.2010.4.01.3800 monitoria
259|04 - Pessoal e financeiro||Impostos|Certidao divida ativa fazenda publica estadual minas gerais 2005
260|02 - Estudos e concursos||Direito Previdenciario|Estudo situacao mfdv stj resp 1186513 recurso repetitivo
261|03 - Administrativo||Listas e planilhas|Registro log caratorio upload confirmacao brazopolis 2015
262|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
263|02 - Estudos e concursos||Raciocinio Logico e Matematica|Estudo correlacao estatistica edital fiscal receita
264|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
265|01 - Juridico|Outros processuais|Eleitoral|Relatorio processos tse gabinete ministro luiz fux 2015
266|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
267|04 - Pessoal e financeiro||Comprovantes e recibos|Saque conta corrente banco postal caratorio 08 05 2014
268|03 - Administrativo||Oficios e memorandos|Intimacao caratorio protesto titulo marajinho agroindustrial 2014
269|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
270|01 - Juridico|Pareceres e notas tecnicas|Civel|Estudo concessao uso especial moradia direito real registrabilidade
271|01 - Juridico|Recursos|Administrativo|Sentenca mandado seguranca 2008.38.00.016225-0 exame ordem oab
272|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
273|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
274|04 - Pessoal e financeiro||Documentos pessoais|Convencao coletiva trabalho 2008 2009 seguranca vigilancia minas gerais
275|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
276|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
277|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
278|01 - Juridico|Contestacoes e manifestacoes|Trabalhista|Contestacao reclama trabalhista 00691-2011-003-03-00-5 ect luiz flavio
279|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
280|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
