id|nat|tipo|materia|nomeNovo
681|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Autos 2004.38.00.052926-5 Acao Ordinaria Financiamento Habitacional Caixa Economica Federal 2004
682|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Autos 2008.38.018840-0 Acao Ordinaria Multa Infracoes ANP Agencia Nacional Petroleo 2008
683|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
684|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
685|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
686|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
687|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
688|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Autos 2009.38.00.017510-0 Acao Ordinaria Colacao Grau Ensino Superior Universidade Pontificia 2009
689|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
690|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca Autos 44670-58.2010.4.01.3800 Mandado Seguranca Tributario Contribuicoes Receita Federal 2010
691|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
692|01 - Juridico|Peticoes|Trabalhista|Embargos Execucao Autos 1868-29.2013.5.03.0105 Empresa Brasileira Correios 2013
693|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
694|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
695|01 - Juridico|Acordaos e decisoes|Civel|Edital Praca Autos 0024.04.335.735-9 Acao Cobranca Condominio Edificio Anita Soares Borja 2004
696|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
697|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
698|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Autos 2007.38.00.018340-8 Acao Civil Publica Patrimonio Historico IPHAN 2007
699|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
700|04 - Pessoal e financeiro|Outros|Documentos pessoais|Contrato Trabalho Fichas Cadastrais Financeiras Rescisoes 1997 2009
701|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
702|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
703|01 - Juridico|Acordaos e decisoes|Trabalhista|Parecer Tecnico Autos 36367-2011-002-09-00-6 Execucao Sentenca ECT Correios 2013
704|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
705|01 - Juridico|Acordaos e decisoes|Trabalhista|Parecer Tecnico Autos 26473-2012-009-09-00-7 Execucao Sentenca ECT Correios 2013
706|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
707|01 - Juridico|Acordaos e decisoes|Trabalhista|Recurso Ordinario TRT RO 00293-2007 HSBC Bank Multa Processual 2007
708|01 - Juridico|Acordaos e decisoes|Trabalhista|Parecer Tecnico Autos 26601-2012-009-09-00-2 Execucao Sentenca ECT Correios 2013
709|01 - Juridico|Despachos e votos|Tributario|Sentenca Autos 2008.38.00.022012-9 Cautelar Inominada CPD Uniao Receita Federal 2008
710|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
711|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
712|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Autos 2008.38.00.021578-5 Acao Usucapiao Especial Caixa Economica Federal 2008
713|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
714|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Autos 2010.38.00.006786-4 Acao Ordinaria Multa IBAMA Instituto Brasileiro Meio Ambiente 2010
715|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
716|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
717|02 - Estudos e concursos|Outros|Portugues|Material Estudo Lingua Alemaa Die Blaue Blume Subordinadas Infinitivas
718|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
719|05 - Diversos (a revisar)|Outros|Outros|arquivo tecnico ilegivel
720|03 - Administrativo|Portarias e resolucoes|Formularios|Plano Carreiras Cargos Salarios ECT Correios Tecnico Administrativo
