id|nat|tipo|materia|nomeNovo
1881|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1882|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1883|01 - Juridico|Outros|Administrativo|Protesto CDA 03000433353 CAFE PIRANGUINHO LTDA CNPJ 08178302000166 2015
1884|01 - Juridico|Recursos|Tributario|Mandado Seguranca 2009380001718 Jose Afonso Assumpcao Beatriz Piacenza Assumpcao IRPF 2009
1885|01 - Juridico|Peticoes|Administrativo|Acao Ordinaria 2008380005828 Geraldo Martins Vales Uniao Federal TCU 2008
1886|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1887|01 - Juridico|Outros|Eleitoral|Relatorio Consulta Processo PREFEITO 2012
1888|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1889|01 - Juridico|Outros|Administrativo|Protesto Titulos MARAJINHO AGROINDUSTRIAL LTDA CNPJ 04532682000134 2014
1890|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1891|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1892|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1893|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1894|01 - Juridico|Outros|Civel|Edital Praca Leilao Acao Cobranca Taxa Condominial 0024043939339 Condominio Edificio Royale Lucas Gontijo Chagas 2011
1895|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1896|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1897|04 - Pessoal e financeiro||Faturas e boletos|Assinatura Recorrente Cancelada 3106397 28012021
1898|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1899|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1900|02 - Estudos e concursos||Raciocinio Logico e Matematica|Prova Folha Respostas Poder Judiciario Uniao 2015
1901|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1902|01 - Juridico|Outros|Civel|Edital Praca Acao Cumprimento Sentenca 0024057502502 Condominio Edificio Walter Antonio Frederico Guilherme Manetta Martins Belem 2011
1903|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1904|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1905|03 - Administrativo||Comunicacoes internas|Registro Reuniao PRM Correios Planejamento Colaboradores 2014
1906|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1907|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1908|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1909|01 - Juridico|Outros|Administrativo|Registro Protesto Duplicata DMI 896C 13112013 22012014 Valor 99666
1910|03 - Administrativo||Listas e planilhas|Registro Log Controle Cartorio Upload Confirmacao 2014
1911|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1912|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1913|01 - Juridico|Recursos|Tributario|Embargos Execucao 2007380014904 Uniao Federal Marcelo Albano Ferreira Morais Anacleto Correia Faria Neto Sergio Quirino Guimaraes Messias Rosa Nascimento Sebastiao Goncalves Jesus 2007
1914|04 - Pessoal e financeiro||Comprovantes e recibos|Comprovante Saque Banco Postal Banco Brasil 30042014 Agencia 1663 Tabelionato Protesto
1915|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1916|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1917|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1918|03 - Administrativo||Listas e planilhas|Registro Log Controle Cartorio Upload Confirmacao 2014
1919|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
1920|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
