id|nat|tipo|materia|nomeNovo
1|03 - Administrativo||Atas e sessões|SVE 26-02-2021 a 04-03-2021 (2)
2|03 - Administrativo||Atas e sessões|SVE 26-02-2021 a 04-03-2021
3|03 - Administrativo||Atas e sessões|SVE 26-03-2021 a 05-04-2021 (2)
4|03 - Administrativo||Atas e sessões|SVE 26-03-2021 a 05-04-2021
5|03 - Administrativo||Atas e sessões|SVE 27-08-2021 a 02-09-2021
6|03 - Administrativo||Atas e sessões|SVE 28-05-2021 a 04-06-2021
7|03 - Administrativo||Atas e sessões|SVE 03-09-2021 a 09-09-2021
8|03 - Administrativo||Atas e sessões|SVE 30-04-2021 a 06-05-2021
9|03 - Administrativo||Atas e sessões|SVE 4 a 7-12
10|03 - Administrativo||Atas e sessões|SVE 04-06-2021 a 10-06-2021
11|03 - Administrativo||Atas e sessões|SVE 05-02-2021 a 11-02-2021 (2)
12|03 - Administrativo||Atas e sessões|SVE 05-02-2021 a 11-02-2021
13|03 - Administrativo||Atas e sessões|SVE 05-03-2021 a 11-03-2021 (2)
14|03 - Administrativo||Atas e sessões|SVE 05-03-2021 a 11-03-2021
15|03 - Administrativo||Atas e sessões|SVE 06-08-2021 a 12-08-2021
16|03 - Administrativo||Atas e sessões|SVE 07-05-2021 a 13-05-2021
17|03 - Administrativo||Atas e sessões|SVE 9 a 11-12
18|03 - Administrativo||Atas e sessões|SVE 09-04-2021 a 15-04-2021
19|03 - Administrativo||Atas e sessões|SVE de 11-06-2021 a 17-06-2021
20|03 - Administrativo||Atas e sessões|SVE de 09-04-2021 a 15-04-2021
21|03 - Administrativo||Atas e sessões|TA dezembro 15-11
22|03 - Administrativo||Atas e sessões|TA dezembro 16-11
23|03 - Administrativo||Atas e sessões|TA dezembro 20-11
24|03 - Administrativo||Atas e sessões|TA dezembro 21-11
25|03 - Administrativo||Atas e sessões|TA fevereiro 15-12
26|03 - Administrativo||Atas e sessões|TA fevereiro 26-12
27|03 - Administrativo||Atas e sessões|TA julho 09-12
28|03 - Administrativo||Atas e sessões|TA julho 13-12
29|03 - Administrativo||Atas e sessões|TA junho 17-12
30|03 - Administrativo||Atas e sessões|TA junho 18-12
31|03 - Administrativo||Atas e sessões|TA maio 10-12
32|03 - Administrativo||Atas e sessões|TA outubro 14-12
33|03 - Administrativo||Listas e planilhas|TABELA - PC - eleições 2014
34|03 - Administrativo||Listas e planilhas|TABELA - PC anual 2013 - prescrição abril 2019
35|03 - Administrativo||Listas e planilhas|Tabela comparativa - representações - 2020 2018 2016 - revisão Vitor 13-12
36|03 - Administrativo||Listas e planilhas|Tabela comparativa - registro de candidatos - 2020 2016 2018 [BF]
37|03 - Administrativo||Listas e planilhas|Tabela de atos atualizada
38|03 - Administrativo||Listas e planilhas|Tabela de atos com anotações
39|03 - Administrativo||Listas e planilhas|Tabela de férias de janeiro 2015
40|03 - Administrativo||Listas e planilhas|Tabela de férias de janeiro 2016
41|03 - Administrativo||Listas e planilhas|Tabela de férias de janeiro 2017
42|03 - Administrativo||Listas e planilhas|Tabela de férias de julho 2015
43|03 - Administrativo||Listas e planilhas|Tabela de férias de julho 2017 2
44|03 - Administrativo||Listas e planilhas|Tabela de férias de julho 2017
45|03 - Administrativo||Listas e planilhas|Tabela de férias de novembro dezembro janeiro e fevereiro 2017 e 2018
46|03 - Administrativo||Listas e planilhas|Tabela de férias de setembro e outubro 2017
47|03 - Administrativo||Listas e planilhas|Tabela de férias dezembro janeiro 2017 e 2018 - colaborador
48|03 - Administrativo||Listas e planilhas|Tabela emolumentos tratada
49|03 - Administrativo||Listas e planilhas|Tabela honorários OAB
50|03 - Administrativo||Listas e planilhas|Tabela janeiro 2015 - colaboradores
51|03 - Administrativo||Listas e planilhas|Tabela janeiro 2016 - colaboradores
52|03 - Administrativo||Listas e planilhas|Tabela PC 25277 - PCdoB
53|03 - Administrativo||Listas e planilhas|Tabela PC 26139 - PSTU - versão final
54|03 - Administrativo||Listas e planilhas|Tabela remuneração - Lei 12774-12
55|03 - Administrativo||Listas e planilhas|Tabela propaganda partidária intrapartidária e eleitoral
56|03 - Administrativo||Outros|Tabelionato de Protesto
57|03 - Administrativo||Formulários|TAM atualização cadastral
58|03 - Administrativo||Atas e sessões|TA 01 novembro 11-12
59|03 - Administrativo||Atas e sessões|TA 01 outubro 19-12
60|03 - Administrativo||Atas e sessões|TA 01 outubro 23-12
61|03 - Administrativo||Contratos e termos|TA Acordo de Cooperação Técnica USP-TSE
62|03 - Administrativo||Outros|tcmrj08 disc auditor espelho disc1 q1
63|03 - Administrativo||Outros|tcmrj08 disc auditor espelho disc1 q2
64|03 - Administrativo||Outros|tcmrj08 disc auditor espelho disc1 q3
65|03 - Administrativo||Outros|tcmrj08 disc auditor espelho disc1 q4
66|03 - Administrativo||Outros|tcmrj08 disc auditor espelho disc1 q5
