id|nat|tipo|materia|nomeNovo
1|03 - Administrativo||Listas e planilhas|Indice lista 25-06
2|03 - Administrativo||Listas e planilhas|Indice lista 25-09-2018
3|03 - Administrativo||Listas e planilhas|Indice lista 26-02
4|03 - Administrativo||Listas e planilhas|Indice lista 26-09
5|03 - Administrativo||Listas e planilhas|Indice lista 27-11
6|03 - Administrativo||Listas e planilhas|Indice lista 28-6
7|03 - Administrativo||Listas e planilhas|Indice lista 28-03
8|03 - Administrativo||Listas e planilhas|Indice lista 29-5
9|03 - Administrativo||Listas e planilhas|Indice lista 30-08
10|03 - Administrativo||Listas e planilhas|Indice lista 30-05-2019
11|03 - Administrativo||Listas e planilhas|Indice lista 30-10
12|03 - Administrativo||Listas e planilhas|Indice lista 5 23-10
13|03 - Administrativo||Listas e planilhas|Indice lista 7
14|03 - Administrativo||Listas e planilhas|Indice lista 8
15|03 - Administrativo||Listas e planilhas|Indice lista modelo
16|03 - Administrativo||Listas e planilhas|Indice lista
17|03 - Administrativo||Outros|Orgao executivo
18|04 - Pessoal e financeiro||Comprovantes e recibos|Documentos comprobatorios 2015 (4)
19|04 - Pessoal e financeiro||Comprovantes e recibos|Documentos comprobatorios 2016 (5)
20|04 - Pessoal e financeiro||Comprovantes e recibos|Documentos comprobatorios 2017 (6)
21|04 - Pessoal e financeiro||Comprovantes e recibos|Documentos comprobatorios 2018 (7)
22|04 - Pessoal e financeiro||Comprovantes e recibos|Despesas (8)
23|04 - Pessoal e financeiro||Comprovantes e recibos|Documentos comprobatorios - Pedro Augusto (mixed)
24|04 - Pessoal e financeiro||Outros|Orcamento publico 883 - aula zero
25|04 - Pessoal e financeiro||Comprovantes e recibos|01 - comprovante de pagamento - jan 27-16
26|04 - Pessoal e financeiro||Comprovantes e recibos|01 - HABITENGE ENG - comprovante de deposito
27|04 - Pessoal e financeiro||Comprovantes e recibos|01 - HABITENGE ENG - comprovante de postagem
28|04 - Pessoal e financeiro||Faturas e boletos|01 - HABITENGE ENG - nota fiscal 052
29|04 - Pessoal e financeiro||Impostos|025.332.581-13 - IRPF 2013-2012 - original imagem recibo
30|04 - Pessoal e financeiro||Impostos|025.332.581-13 - IRPF 2013-2012 - original imagem declaracao
31|04 - Pessoal e financeiro||Comprovantes e recibos|02 - comprovante de pagamento - fev 03-16
32|04 - Pessoal e financeiro||Declarações|02 - Marcelo Reno Carneiro - anuencia
33|04 - Pessoal e financeiro||Documentos pessoais|02 - testamento Egidio Pelegrino
34|04 - Pessoal e financeiro||Comprovantes e recibos|03 - 2020 - pagamento
35|04 - Pessoal e financeiro||Comprovantes e recibos|03 - comprovante de pagamento - mar 03-16
36|04 - Pessoal e financeiro||Comprovantes e recibos|04 - 2020 - pagamento
37|04 - Pessoal e financeiro||Comprovantes e recibos|04 - 2021 - pagamento
38|04 - Pessoal e financeiro||Comprovantes e recibos|04 - comprovante de pagamento - abr 04-16
39|04 - Pessoal e financeiro||Documentos pessoais|04 - testamento Noemia Pelegrino
40|04 - Pessoal e financeiro||Comprovantes e recibos|05 - 2014 - comprovante
41|04 - Pessoal e financeiro||Comprovantes e recibos|05 - 2021 - pagamento
42|04 - Pessoal e financeiro||Comprovantes e recibos|05 - comprovante de pagamento - mai 11-16
43|04 - Pessoal e financeiro||Comprovantes e recibos|05 - extrato BB mai 30-16
44|04 - Pessoal e financeiro||Comprovantes e recibos|06 - 2014 - comprovante
45|04 - Pessoal e financeiro||Comprovantes e recibos|06 - comprovante de pagamento - jun 03-16
46|04 - Pessoal e financeiro||Comprovantes e recibos|06 - extrato BB jun 30-16 (2)
