"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","norma","Emenda Constitucional n. 109, de 15 de março de 2021","","","","","","","Altera os arts. 29-A, 37, 49, 84, 163, 165, 167, 168 e 169 da Constituição Federal e os arts. 101 e 109 do Ato das Disposições Constitucionais Transitórias; acrescenta à Constituição Federal os arts. 164-A, 167- A, 167-B, 167-C, 167-D, 167-E, 167-F e 167-G; revoga dispositivos do Ato das Disposições Constitucionais Transitórias e institui regras transitórias sobre redução de benefícios tributários; desvincula parcialmente o superávit financeiro de fundos públicos; e suspende condicionalidades para realização de despesas com concessão de auxílio emergencial residual para enfrentar as consequências sociais e econômicas da pandemia da Covid-19. AS MESAS DA CÂMARA DOS DEPUTADOS E DO SENADO FEDERAL, nos termos do § 3º do","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Emenda Constitucional n. 109, de 15 de março de 2021
Tipo: norma
Páginas: 395-395
Altera os arts. 29-A, 37, 49, 84, 163, 165, 167, 168 e 169 da Constituição Federal e os arts. 101 e 109 do Ato das Disposições Constitucionais Transitórias; acrescenta à Constituição Federal os arts. 164-A, 167- A, 167-B, 167-C, 167-D, 167-E, 167-F e 167-G; revoga dispositivos do Ato das Disposições Constitucionais Transitórias e institui regras transitórias sobre redução de benefícios tributários; desvincula parcialmente o superávit financeiro de fundos públicos; e suspende condicionalidades para realização de despesas com concessão de auxílio emergencial residual para enfrentar as consequências sociais e econômicas da pandemia da Covid-19. AS MESAS DA CÂMARA DOS DEPUTADOS E DO SENADO FEDERAL, nos termos do § 3º do","Altera os arts. 29-A, 37, 49, 84, 163, 165, 167, 168 e 169 da Constituição Federal e os arts. 101 e 109 do Ato das Disposições Constitucionais Transitórias; acrescenta à Constituição Federal os arts. 164-A, 167- A, 167-B, 167-C, 167-D...","arts; federal; transitorias; emenda; constitucional; marco; constituicao; disposicoes; constitucionais; altera","True","1063","265"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","artigo","Art. 60","","Art. 60","","","","","art. 60 da Constituição Federal, promulgam a seguinte emenda ao texto constitucional:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 60
Tipo: artigo
Páginas: 395-395
art. 60 da Constituição Federal, promulgam a seguinte emenda ao texto constitucional:","art. 60 da Constituição Federal, promulgam a seguinte emenda ao texto constitucional:","emenda; constitucional; marco; constituicao; federal; promulgam; seguinte; texto","True","379","94"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º A Constituição Federal passa a vigorar com as seguintes alterações:","Alterações incorporadas ao texto da Constituição Federal.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Constituição Federal."", ""pagina_inicial"": 395, ""pagina_final"": 395}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 395-395
Art. 1º A Constituição Federal passa a vigorar com as seguintes alterações:
Notas vinculadas:
Alterações incorporadas ao texto da Constituição Federal.","Art. 1º A Constituição Federal passa a vigorar com as seguintes alterações:","constituicao; federal; alteracoes; emenda; constitucional; marco; passa; vigorar; seguintes; incorporadas","True","445","111"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º O Ato das Disposições Constitucionais Transitórias passa a vigorar com as seguintes alterações:","Alterações incorporadas ao texto do Ato das Disposições Constitucionais Transitórias.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto do Ato das Disposições Constitucionais Transitórias."", ""pagina_inicial"": 395, ""pagina_final"": 395}]","1","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 395-395
Art. 2º O Ato das Disposições Constitucionais Transitórias passa a vigorar com as seguintes alterações:
Notas vinculadas:
Alterações incorporadas ao texto do Ato das Disposições Constitucionais Transitórias.","Art. 2º O Ato das Disposições Constitucionais Transitórias passa a vigorar com as seguintes alterações:","disposicoes; constitucionais; transitorias; alteracoes; emenda; constitucional; marco; passa; vigorar; seguintes","True","501","125"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º Durante o exercício financeiro de 2021, a proposição legislativa com o propósito exclusivo de conceder auxílio emergencial residual para enfrentar as consequências sociais e econômicas da pandemia da Covid-19 fica dispensada da observância das limitações legais quanto à criação, à expansão ou ao aperfeiçoamento de ação governamental que acarrete aumento de despesa.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º
Tipo: artigo
Páginas: 395-395
Art. 3º Durante o exercício financeiro de 2021, a proposição legislativa com o propósito exclusivo de conceder auxílio emergencial residual para enfrentar as consequências sociais e econômicas da pandemia da Covid-19 fica dispensada da observância das limitações legais quanto à criação, à expansão ou ao aperfeiçoamento de ação governamental que acarrete aumento de despesa.","Art. 3º Durante o exercício financeiro de 2021, a proposição legislativa com o propósito exclusivo de conceder auxílio emergencial residual para enfrentar as consequências sociais e econômicas da pandemia da Covid-19 fica dispensada da...","emenda; constitucional; marco; durante; exercicio; financeiro; proposicao; legislativa; proposito; exclusivo","True","669","167"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","paragrafo","Art. 3º, §1º","Art. 3º","Art. 3º","§1º","","","","§ 1º As despesas decorrentes da concessão do auxílio referido no caput deste artigo realizadas no exercício financeiro de 2021 não são consideradas, até o limite de R$ 44.000.000.000,00 (quarenta e quatro bilhões de reais), para fins de:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º, §1º
Tipo: paragrafo
Dispositivo pai: Art. 3º
Páginas: 395-395
§ 1º As despesas decorrentes da concessão do auxílio referido no caput deste artigo realizadas no exercício financeiro de 2021 não são consideradas, até o limite de R$ 44.000.000.000,00 (quarenta e quatro bilhões de reais), para fins de:","§ 1º As despesas decorrentes da concessão do auxílio referido no caput deste artigo realizadas no exercício financeiro de 2021 não são consideradas, até o limite de R$ 44.000.000.000,00 (quarenta e quatro bilhões de reais), para fins de:","emenda; constitucional; marco; despesas; decorrentes; concessao; auxilio; referido; caput; deste","True","564","141"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","inciso","Art. 3º, §1º, I","Art. 3º, §1º","Art. 3º","§1º","I","","","I - apuração da meta de resultado primário estabelecida no caput do art. 2º da Lei n. 14.116, de 31 de dezembro de 2020;","","[]","0","Lei n. 14.116","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º, §1º, I
Tipo: inciso
Dispositivo pai: Art. 3º, §1º
Páginas: 395-395
I - apuração da meta de resultado primário estabelecida no caput do art. 2º da Lei n. 14.116, de 31 de dezembro de 2020;","I - apuração da meta de resultado primário estabelecida no caput do art. 2º da Lei n. 14.116, de 31 de dezembro de 2020;","emenda; constitucional; marco; apuracao; meta; resultado; primario; estabelecida; caput; dezembro","True","452","113"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","inciso","Art. 3º, §1º, II","Art. 3º, §1º","Art. 3º","§1º","II","","","II - limite para despesas primárias estabelecido no inciso I do caput do art. 107 do Ato das Disposições Constitucionais Transitórias.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º, §1º, II
Tipo: inciso
Dispositivo pai: Art. 3º, §1º
Páginas: 395-395
II - limite para despesas primárias estabelecido no inciso I do caput do art. 107 do Ato das Disposições Constitucionais Transitórias.","II - limite para despesas primárias estabelecido no inciso I do caput do art. 107 do Ato das Disposições Constitucionais Transitórias.","emenda; constitucional; marco; limite; despesas; primarias; estabelecido; inciso; caput; disposicoes","True","467","116"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","paragrafo","Art. 3º, §2º","Art. 3º","Art. 3º","§2º","","","","§ 2º As operações de crédito realizadas para custear a concessão do auxílio referido no caput deste artigo ficam ressalvadas do limite estabelecido no inciso III do caput do art. 167 da Constituição Federal.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º, §2º
Tipo: paragrafo
Dispositivo pai: Art. 3º
Páginas: 395-395
§ 2º As operações de crédito realizadas para custear a concessão do auxílio referido no caput deste artigo ficam ressalvadas do limite estabelecido no inciso III do caput do art. 167 da Constituição Federal.","§ 2º As operações de crédito realizadas para custear a concessão do auxílio referido no caput deste artigo ficam ressalvadas do limite estabelecido no inciso III do caput do art. 167 da Constituição Federal.","caput; emenda; constitucional; marco; operacoes; credito; realizadas; custear; concessao; auxilio","True","534","133"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","emenda_constitucional_109_2021","Emenda Constitucional n. 109, de 15 de março de 2021","Emendas Constitucionais","Emendas Constitucionais","Emendas Constitucionais","395","395","","paragrafo","Art. 3º, §3º","Art. 3º","Art. 3º","§3º","","","","§ 3º A despesa de que trata este artigo deve ser atendida por meio de crédito extraordinário.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Emenda Constitucional n. 109, de 15 de março de 2021
Nome popular: Emendas Constitucionais
Macrogrupo: Emendas Constitucionais
Grupo do sumário: Emendas Constitucionais
Dispositivo: Art. 3º, §3º
Tipo: paragrafo
Dispositivo pai: Art. 3º
Páginas: 395-395
§ 3º A despesa de que trata este artigo deve ser atendida por meio de crédito extraordinário.","§ 3º A despesa de que trata este artigo deve ser atendida por meio de crédito extraordinário.","emenda; constitucional; marco; despesa; trata; este; artigo; deve; atendida; meio","True","420","105"
