"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","norma","Resolução n. 23.517, de 4 de abril de 2017","","","","","","","Dispõe sobre a lista tríplice para preenchimento das vagas de juízes dos Tribunais Regionais Eleitorais na classe dos advogados. O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XVIII, do Código Eleitoral, resolve expedir instruções que regulamentam o encaminhamento de lista tríplice para preenchimento das vagas de juiz membro dos Tribunais Regionais Eleitorais, na classe dos advogados.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Resolução n. 23.517, de 4 de abril de 2017
Tipo: norma
Páginas: 895-895
Dispõe sobre a lista tríplice para preenchimento das vagas de juízes dos Tribunais Regionais Eleitorais na classe dos advogados. O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XVIII, do Código Eleitoral, resolve expedir instruções que regulamentam o encaminhamento de lista tríplice para preenchimento das vagas de juiz membro dos Tribunais Regionais Eleitorais, na classe dos advogados.","Dispõe sobre a lista tríplice para preenchimento das vagas de juízes dos Tribunais Regionais Eleitorais na classe dos advogados. O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XVIII, do Código...","resolucao; abril; lista; triplice; preenchimento; vagas; tribunais; regionais; eleitorais; classe","True","696","174"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º Os advogados a que se refere o inciso III do § 1º do art. 120 da Constituição Federal (CF/1988) serão indicados em lista tríplice organizada pelos Tribunais de Justiça que será encaminhada ao Tribunal Superior Eleitoral (TSE) pelo respectivo Tribunal Regional Eleitoral (TRE).","","[]","0","CF/1988","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 895-895
Art. 1º Os advogados a que se refere o inciso III do § 1º do art. 120 da Constituição Federal (CF/1988) serão indicados em lista tríplice organizada pelos Tribunais de Justiça que será encaminhada ao Tribunal Superior Eleitoral (TSE) pelo respectivo Tribunal Regional Eleitoral (TRE).","Art. 1º Os advogados a que se refere o inciso III do § 1º do art. 120 da Constituição Federal (CF/1988) serão indicados em lista tríplice organizada pelos Tribunais de Justiça que será encaminhada ao Tribunal Superior Eleitoral (TSE) pelo...","tribunal; eleitoral; resolucao; abril; advogados; refere; inciso; constituicao; federal; serao","True","518","129"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","paragrafo","Art. 1º, Parágrafo único","Art. 1º","Art. 1º","Parágrafo único","","","","Parágrafo único. As listas tríplices serão formadas, sempre que possível, com participação de mulheres e homens nos Tribunais Regionais Eleitorais, com perspectiva interseccional de raça e etnia, proporcionando-se a ocupação de percentuais iguais de cargos por advogadas e advogados naqueles órgãos judiciais eleitorais.","Parágrafo único acrescido pelo art. 1º da Res.-TSE n. 23746/2025.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Parágrafo único acrescido pelo art. 1º da Res.-TSE n. 23746/2025."", ""pagina_inicial"": 895, ""pagina_final"": 895}]","1","Res.-TSE n. 23746/2025","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 1º, Parágrafo único
Tipo: paragrafo
Dispositivo pai: Art. 1º
Páginas: 895-895
Parágrafo único. As listas tríplices serão formadas, sempre que possível, com participação de mulheres e homens nos Tribunais Regionais Eleitorais, com perspectiva interseccional de raça e etnia, proporcionando-se a ocupação de percentuais iguais de cargos por advogadas e advogados naqueles órgãos judiciais eleitorais.
Notas vinculadas:
Parágrafo único acrescido pelo art. 1º da Res.-TSE n. 23746/2025.","Parágrafo único. As listas tríplices serão formadas, sempre que possível, com participação de mulheres e homens nos Tribunais Regionais Eleitorais, com perspectiva interseccional de raça e etnia, proporcionando-se a ocupação de percentuais...","paragrafo; unico; eleitorais; resolucao; abril; listas; triplices; serao; formadas; sempre","True","683","170"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º Até 90 dias antes do término do biênio de juíza ou juiz da classe de advogado, ou imediatamente depois de vacância do cargo por motivos diversos, o Presidente do Tribunal Regional Eleitoral notificará o respectivo Tribunal de Justiça, para a indicação de advogadas e advogados em ordem de classificação na lista tríplice, certificando ao Tribunal estadual do número de membros do Tribunal Eleitoral, especialmente dos cargos providos por advogadas e advogados, a fim de que a formação do rol considere o critério da equidade de gênero, vedada a preferência decorrente de preconceito contra mulheres.","Caput com redação dada pelo art. 1º da Res.-TSE
n. 23746/2025.
Ac.-TSE, de 19/8/2025, na QO-LT n. 060026570: após a entrada em vigor da Res.-TSE n. 23746/2025, a data a ser considerada para fins da paridade de gênero será a da comunicação pelo TRE ao TJ.","[{""ordem"": 1, ""marcador"": ""continuação"", ""texto"": ""Caput com redação dada pelo art. 1º da Res.-TSE"", ""pagina_inicial"": 895, ""pagina_final"": 895}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""n. 23746/2025."", ""pagina_inicial"": 895, ""pagina_final"": 895}, {""ordem"": 3, ""marcador"": ""quadrado"", ""texto"": ""Ac.-TSE, de 19/8/2025, na QO-LT n. 060026570: após a entrada em vigor da Res.-TSE n. 23746/2025, a data a ser considerada para fins da paridade de gênero será a da comunicação pelo TRE ao TJ."", ""pagina_inicial"": 895, ""pagina_final"": 895}]","3","Res.-TSE n. 23746/2025","Ac.-TSE, de 19/8/2025, na QO-LT n","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 895-895
Art. 2º Até 90 dias antes do término do biênio de juíza ou juiz da classe de advogado, ou imediatamente depois de vacância do cargo por motivos diversos, o Presidente do Tribunal Regional Eleitoral notificará o respectivo Tribunal de Justiça, para a indicação de advogadas e advogados em ordem de classificação na lista tríplice, certificando ao Tribunal estadual do número de membros do Tribunal Eleitoral, especialmente dos cargos providos por advogadas e advogados, a fim de que a formação do rol considere o critério da equidade de gênero, vedada a preferência decorrente de preconceito contra mulheres.
Notas vinculadas:
Caput com redação dada pelo art. 1º da Res.-TSE
n. 23746/2025.
Ac.-TSE, de 19/8/2025, na QO-LT n. 060026570: após a entrada em vigor da Res.-TSE n. 23746/2025, a data a ser considerada para fins da paridade de gênero será a da comunicação pelo TRE ao TJ.","Art. 2º Até 90 dias antes do término do biênio de juíza ou juiz da classe de advogado, ou imediatamente depois de vacância do cargo por motivos diversos, o Presidente do Tribunal Regional Eleitoral notificará o respectivo Tribunal de...","tribunal; eleitoral; advogadas; advogados; genero; resolucao; abril; dias; antes; termino","True","1114","278"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","paragrafo","Art. 2º, §1º","Art. 2º","Art. 2º","§1º","","","","§ 1º Da notificação deverão constar o nome do juiz e o respectivo biênio a que se refere a vaga.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 2º, §1º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 895-895
§ 1º Da notificação deverão constar o nome do juiz e o respectivo biênio a que se refere a vaga.","§ 1º Da notificação deverão constar o nome do juiz e o respectivo biênio a que se refere a vaga.","resolucao; abril; notificacao; deverao; constar; nome; juiz; respectivo; bienio; refere","True","363","90"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","paragrafo","Art. 2º, §2º","Art. 2º","Art. 2º","§2º","","","","§ 2º Caberá ao TRE, de posse do ofício do TJ, notificar os advogados indicados para que apresentem os documentos de que trata o","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 2º, §2º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 895-895
§ 2º Caberá ao TRE, de posse do ofício do TJ, notificar os advogados indicados para que apresentem os documentos de que trata o","§ 2º Caberá ao TRE, de posse do ofício do TJ, notificar os advogados indicados para que apresentem os documentos de que trata o","resolucao; abril; cabera; posse; oficio; notificar; advogados; indicados; apresentem; documentos","True","394","98"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","artigo","Art. 4º","","Art. 4º","","","","","art. 4º, encaminhando-os ao TSE.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 4º
Tipo: artigo
Páginas: 895-895
art. 4º, encaminhando-os ao TSE.","art. 4º, encaminhando-os ao TSE.","resolucao; abril; encaminhando","True","266","66"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","paragrafo","Art. 4º, §3º","Art. 4º","Art. 4º","§3º","","","","§ 3º Somente deverá ser encaminhada a documentação dos advogados indicados para compor a lista tríplice.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 4º, §3º
Tipo: paragrafo
Dispositivo pai: Art. 4º
Páginas: 895-895
§ 3º Somente deverá ser encaminhada a documentação dos advogados indicados para compor a lista tríplice.","§ 3º Somente deverá ser encaminhada a documentação dos advogados indicados para compor a lista tríplice.","resolucao; abril; somente; devera; encaminhada; documentacao; advogados; indicados; compor; lista","True","371","92"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","artigo","Art. 3º","","Art. 3º","","","","","Art. 3º O procedimento de lista tríplice, a ser encaminhado ao TSE, deverá ser instruído com os seguintes documentos:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 3º
Tipo: artigo
Páginas: 895-895
Art. 3º O procedimento de lista tríplice, a ser encaminhado ao TSE, deverá ser instruído com os seguintes documentos:","Art. 3º O procedimento de lista tríplice, a ser encaminhado ao TSE, deverá ser instruído com os seguintes documentos:","resolucao; abril; procedimento; lista; triplice; encaminhado; devera; instruido; seguintes; documentos","True","351","87"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","resolucao_23517_2017","Resolução n. 23.517, de 4 de abril de 2017","","Normas editadas pelo TSE","Resoluções","895","895","","inciso","Art. 3º, I","Art. 3º","Art. 3º","","I","","","I - ofício do TRE informando:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Resolução n. 23.517, de 4 de abril de 2017
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Resoluções
Dispositivo: Art. 3º, I
Tipo: inciso
Dispositivo pai: Art. 3º
Páginas: 895-895
I - ofício do TRE informando:","I - ofício do TRE informando:","resolucao; abril; oficio; informando","True","291","72"
