id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,,norma,Provimento-CGE n. 2 de 24 de fevereiro de 2023,,,,,,,"Dispõe sobre os procedimentos para a realização de inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais e sobre a utilização do Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo). O CORREGEDOR-GERAL DA JUSTIÇA ELEITORAL, no uso das atribuições que lhe são conferidas pelo inciso V do art. 2º da Res.-TSE n. 7.651, de 24 de agosto de 1965, e pelo art. 59 da Res.-TSE n. 23.657, de 14 de outubro de 2021, RESOLVE:",Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.,"[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024."", ""pagina_inicial"": 1285, ""pagina_final"": 1285}]",1,Res.-TSE n. 7651/1965; Res.-TSE n. 23742/2024,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Tipo: norma Páginas: 1285-1285 Resumo: Norma Provimento-CGE n. 2/2023: Dispõe sobre os procedimentos para a realização de inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais e sobre a utilização do Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo). | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s) Dispõe sobre os procedimentos para a realização de inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais e sobre a utilização do Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo). O CORREGEDOR-GERAL DA JUSTIÇA ELEITORAL, no uso das atribuições que lhe são conferidas pelo inciso V do art. 2º da Res.-TSE n. 7.651, de 24 de agosto de 1965, e pelo art. 59 da Res.-TSE n. 23.657, de 14 de outubro de 2021, RESOLVE: Notas vinculadas: Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.",Norma Provimento-CGE n. 2/2023: Dispõe sobre os procedimentos para a realização de inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais e sobre a utilização do Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo). | há marcação de revogação/cancelamento/veto; 1 nota(s) vinculada(s),provimento; fevereiro; sobre; inspecoes; correicoes; eleitorais; justica; eleitoral; dispoe; procedimentos,True,1179,295,126_provimento_cge_2_2023:1,126_provimento_cge_2_2023.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,estrutura,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,,,,,,,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,,[],0,,,,Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Tipo: estrutura Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Páginas: 1285-1285 Resumo: Estrutura da Provimento-CGE n. 2/2023 CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,Estrutura da Provimento-CGE n. 2/2023,capitulo; disposicoes; gerais; provimento; fevereiro,True,432,108,126_provimento_cge_2_2023:2,126_provimento_cge_2_2023.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,artigo,Art. 1º,,Art. 1º,,,,,"Art. 1º As Corregedorias Eleitorais, no âmbito de sua competência, realizarão inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais, com os seguintes objetivos:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º Tipo: artigo Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Páginas: 1285-1285 Resumo: Art. 1º: As Corregedorias Eleitorais, no âmbito de sua competência, realizarão inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais, com os seguintes objetivos: Art. 1º As Corregedorias Eleitorais, no âmbito de sua competência, realizarão inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais, com os seguintes objetivos:","Art. 1º: As Corregedorias Eleitorais, no âmbito de sua competência, realizarão inspeções e correições nos Tribunais Regionais Eleitorais e nas zonas eleitorais, com os seguintes objetivos:",eleitorais; provimento; fevereiro; capitulo; disposicoes; gerais; corregedorias; ambito; competencia; realizarao,True,704,176,126_provimento_cge_2_2023:3,126_provimento_cge_2_2023.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,inciso,"Art. 1º, I",Art. 1º,Art. 1º,,I,,,"I - aferir a qualidade, a regularidade e a eficiência das atividades cartorárias;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º, I Tipo: inciso Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 126_provimento_cge_2_2023:3 Páginas: 1285-1285 Resumo: Art. 1º, I, subordinado a Art. 1º: aferir a qualidade, a regularidade e a eficiência das atividades cartorárias; I - aferir a qualidade, a regularidade e a eficiência das atividades cartorárias;","Art. 1º, I, subordinado a Art. 1º: aferir a qualidade, a regularidade e a eficiência das atividades cartorárias;",provimento; fevereiro; capitulo; disposicoes; gerais; aferir; qualidade; regularidade; eficiencia; atividades,True,601,150,126_provimento_cge_2_2023:4,126_provimento_cge_2_2023.csv,3,126_provimento_cge_2_2023:3
5,5,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,inciso,"Art. 1º, II",Art. 1º,Art. 1º,,II,,,II - prevenir a ocorrência de falhas; e,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º, II Tipo: inciso Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 126_provimento_cge_2_2023:3 Páginas: 1285-1285 Resumo: Art. 1º, II, subordinado a Art. 1º: prevenir a ocorrência de falhas; e II - prevenir a ocorrência de falhas; e","Art. 1º, II, subordinado a Art. 1º: prevenir a ocorrência de falhas; e",provimento; fevereiro; capitulo; disposicoes; gerais; prevenir; ocorrencia; falhas,True,518,130,126_provimento_cge_2_2023:5,126_provimento_cge_2_2023.csv,3,126_provimento_cge_2_2023:3
6,6,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,inciso,"Art. 1º, III",Art. 1º,Art. 1º,,III,,,III - promover a melhoria contínua dos processos de trabalho da Justiça Eleitoral.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º, III Tipo: inciso Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 126_provimento_cge_2_2023:3 Páginas: 1285-1285 Resumo: Art. 1º, III, subordinado a Art. 1º: promover a melhoria contínua dos processos de trabalho da Justiça Eleitoral. III - promover a melhoria contínua dos processos de trabalho da Justiça Eleitoral.","Art. 1º, III, subordinado a Art. 1º: promover a melhoria contínua dos processos de trabalho da Justiça Eleitoral.",provimento; fevereiro; capitulo; disposicoes; gerais; promover; melhoria; continua; processos; trabalho,True,605,151,126_provimento_cge_2_2023:6,126_provimento_cge_2_2023.csv,3,126_provimento_cge_2_2023:3
7,7,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,paragrafo,"Art. 1º, Parágrafo único",Art. 1º,Art. 1º,Parágrafo único,,,,"Parágrafo único. As inspeções e correições serão autuadas e tramitarão no Sistema PJeCor e utilizarão, como ferramenta auxiliar, o Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo).",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 1º, Parágrafo único Tipo: paragrafo Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 1º ID do dispositivo pai: 126_provimento_cge_2_2023:3 Páginas: 1285-1285 Resumo: Art. 1º, Parágrafo único: As inspeções e correições serão autuadas e tramitarão no Sistema PJeCor e utilizarão, como ferramenta auxiliar, o Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo). Parágrafo único. As inspeções e correições serão autuadas e tramitarão no Sistema PJeCor e utilizarão, como ferramenta auxiliar, o Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo).","Art. 1º, Parágrafo único: As inspeções e correições serão autuadas e tramitarão no Sistema PJeCor e utilizarão, como ferramenta auxiliar, o Sistema de Inspeções e Correições da Justiça Eleitoral (SInCo).",paragrafo; unico; inspecoes; correicoes; sistema; provimento; fevereiro; capitulo; disposicoes; gerais,True,822,206,126_provimento_cge_2_2023:7,126_provimento_cge_2_2023.csv,3,126_provimento_cge_2_2023:3
8,8,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º Para os fins deste provimento, considera-se:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 2º Tipo: artigo Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Páginas: 1285-1285 Resumo: Art. 2º: Para os fins deste provimento, considera-se: Art. 2º Para os fins deste provimento, considera-se:","Art. 2º: Para os fins deste provimento, considera-se:",provimento; fevereiro; capitulo; disposicoes; gerais; fins; deste; considera,True,434,108,126_provimento_cge_2_2023:8,126_provimento_cge_2_2023.csv,,
9,9,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,inciso,"Art. 2º, I",Art. 2º,Art. 2º,,I,,,"I - inspeção: procedimento de avaliação realizado com a finalidade de aferir a regularidade e aprimorar o funcionamento das unidades dos Tribunais Regionais Eleitorais ou dos juízos eleitorais, havendo ou não irregularidades, abrangendo os serviços e a tramitação de processos administrativos e judiciais, bem como a utilização dos sistemas de informação, observadas as diretrizes estabelecidas pela Corregedoria-Geral ou pelas Corregedorias Regionais Eleitorais, conforme suas competências;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 2º, I Tipo: inciso Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 2º ID do dispositivo pai: 126_provimento_cge_2_2023:37 Páginas: 1285-1285 Resumo: Art. 2º, I, subordinado a Art. 2º: inspeção: procedimento de avaliação realizado com a finalidade de aferir a regularidade e aprimorar o funcionamento das unidades dos Tribunais Regionais Eleitorais ou dos juízos eleitorais, havendo ou não irregularidades, abrangendo os serviços e a tramitação de processos administrativos e judiciais, bem como a utilização dos sistemas de informação, observadas as diretrizes... I - inspeção: procedimento de avaliação realizado com a finalidade de aferir a regularidade e aprimorar o funcionamento das unidades dos Tribunais Regionais Eleitorais ou dos juízos eleitorais, havendo ou não irregularidades, abrangendo os serviços e a tramitação de processos administrativos e judiciais, bem como a utilização dos sistemas de informação, observadas as diretrizes estabelecidas pela Corregedoria-Geral ou pelas Corregedorias Regionais Eleitorais, conforme suas competências;","Art. 2º, I, subordinado a Art. 2º: inspeção: procedimento de avaliação realizado com a finalidade de aferir a regularidade e aprimorar o funcionamento das unidades dos Tribunais Regionais Eleitorais ou dos juízos eleitorais, havendo ou não irregularidades, abrangendo os serviços e a tramitação de processos administrativos e judiciais, bem como a utilização dos sistemas de informação, observadas as diretrizes...",eleitorais; regionais; provimento; fevereiro; capitulo; disposicoes; gerais; inspecao; procedimento; avaliacao,True,1314,328,126_provimento_cge_2_2023:9,126_provimento_cge_2_2023.csv,37,126_provimento_cge_2_2023:37
10,10,Codigo_Eleitoral_2026_anotado.pdf,provimento_cge_2_2023,Provimento-CGE n. 2 de 24 de fevereiro de 2023,Provimento-CGE n. 2/2023,Normas editadas pelo TSE,Provimentos-CGE,1285,1285,CAPÍTULO I - DAS DISPOSIÇÕES GERAIS,inciso,"Art. 2º, II",Art. 2º,Art. 2º,,II,,,"II - inspeção de ciclo: procedimento de avaliação realizado por Corregedoria Regional Eleitoral em determinada zona eleitoral durante o ciclo, observadas as diretrizes estabelecidas pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, destinado à verificação da regularidade dos serviços cartorários e a sua eventual correção;",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Provimento-CGE n. 2 de 24 de fevereiro de 2023 Nome popular/citação curta: Provimento-CGE n. 2/2023 Macrogrupo: Normas editadas pelo TSE Grupo do sumário: Provimentos-CGE Dispositivo: Art. 2º, II Tipo: inciso Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES GERAIS Dispositivo pai: Art. 2º ID do dispositivo pai: 126_provimento_cge_2_2023:37 Páginas: 1285-1285 Resumo: Art. 2º, II, subordinado a Art. 2º: inspeção de ciclo: procedimento de avaliação realizado por Corregedoria Regional Eleitoral em determinada zona eleitoral durante o ciclo, observadas as diretrizes estabelecidas pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, destinado à verificação da regularidade dos serviços cartorários e a sua eventual correção; II - inspeção de ciclo: procedimento de avaliação realizado por Corregedoria Regional Eleitoral em determinada zona eleitoral durante o ciclo, observadas as diretrizes estabelecidas pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, destinado à verificação da regularidade dos serviços cartorários e a sua eventual correção;","Art. 2º, II, subordinado a Art. 2º: inspeção de ciclo: procedimento de avaliação realizado por Corregedoria Regional Eleitoral em determinada zona eleitoral durante o ciclo, observadas as diretrizes estabelecidas pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, destinado à verificação da regularidade dos serviços cartorários e a sua eventual correção;",ciclo; corregedoria; eleitoral; provimento; fevereiro; capitulo; disposicoes; gerais; inspecao; procedimento,True,1123,281,126_provimento_cge_2_2023:10,126_provimento_cge_2_2023.csv,37,126_provimento_cge_2_2023:37
