"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","norma","Decreto n. 7.791, de 17 de agosto de 2012","","","","","","","Regulamenta a compensação fiscal na apuração do Imposto sobre a Renda da Pessoa Jurídica (IRPJ) pela divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos. A PRESIDENTA DA REPÚBLICA, no uso da atribuição que lhe confere o art. 84, caput, inciso IV, da Constituição, e tendo em vista o disposto no parágrafo único do art. 52 da Lei n. 9.096, de 19 de setembro de 1995, e no art. 99 da Lei n. 9.504, de 30 de setembro de 1997, DECRETA:","V. art. 5º da Lei n. 13.487/2017, o qual revoga os arts. 45 a 49 e o parágrafo único do art. 52 da Lei n. 9.096/1995, a partir de 1º de janeiro de 2018.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""V. art. 5º da Lei n. 13.487/2017, o qual revoga os arts. 45 a 49 e o parágrafo único do art. 52 da Lei n. 9.096/1995, a partir de 1º de janeiro de 2018."", ""pagina_inicial"": 725, ""pagina_final"": 725}]","1","Lei n. 9.096; Lei n. 9.504; Lei n. 13.487/2017; Lei n. 9.096/1995","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Decreto n. 7.791, de 17 de agosto de 2012
Tipo: norma
Páginas: 725-725
Regulamenta a compensação fiscal na apuração do Imposto sobre a Renda da Pessoa Jurídica (IRPJ) pela divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos. A PRESIDENTA DA REPÚBLICA, no uso da atribuição que lhe confere o art. 84, caput, inciso IV, da Constituição, e tendo em vista o disposto no parágrafo único do art. 52 da Lei n. 9.096, de 19 de setembro de 1995, e no art. 99 da Lei n. 9.504, de 30 de setembro de 1997, DECRETA:
Notas vinculadas:
V. art. 5º da Lei n. 13.487/2017, o qual revoga os arts. 45 a 49 e o parágrafo único do art. 52 da Lei n. 9.096/1995, a partir de 1º de janeiro de 2018.","Regulamenta a compensação fiscal na apuração do Imposto sobre a Renda da Pessoa Jurídica (IRPJ) pela divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos. A PRESIDENTA DA REPÚBLICA, no uso da atribuição que...","decreto; agosto; paragrafo; unico; setembro; regulamenta; compensacao; fiscal; apuracao; imposto","True","908","227"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º As emissoras de rádio e televisão obrigadas à divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos poderão efetuar a compensação fiscal de que trata o parágrafo único do art. 52 da Lei n. 9.096, de 19 de setembro de 1995, e o art. 99 da Lei n. 9.504, de 30 de setembro de 1997, na apuração do Imposto sobre a Renda da Pessoa Jurídica (IRPJ), inclusive da base de cálculo dos recolhimentos mensais previstos na legislação fiscal, e da base de cálculo do lucro presumido.","V. art. 50-E da Lei n. 9.096/1995.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""V. art. 50-E da Lei n. 9.096/1995."", ""pagina_inicial"": 725, ""pagina_final"": 725}]","1","Lei n. 9.096; Lei n. 9.504; Lei n. 9.096/1995","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 725-725
Art. 1º As emissoras de rádio e televisão obrigadas à divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos poderão efetuar a compensação fiscal de que trata o parágrafo único do art. 52 da Lei n. 9.096, de 19 de setembro de 1995, e o art. 99 da Lei n. 9.504, de 30 de setembro de 1997, na apuração do Imposto sobre a Renda da Pessoa Jurídica (IRPJ), inclusive da base de cálculo dos recolhimentos mensais previstos na legislação fiscal, e da base de cálculo do lucro presumido.
Notas vinculadas:
V. art. 50-E da Lei n. 9.096/1995.","Art. 1º As emissoras de rádio e televisão obrigadas à divulgação gratuita da propaganda partidária e eleitoral, de plebiscitos e referendos poderão efetuar a compensação fiscal de que trata o parágrafo único do art. 52 da Lei n. 9.096, de...","fiscal; setembro; base; calculo; decreto; agosto; emissoras; radio; televisao; obrigadas","True","802","200"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º A apuração do valor da compensação fiscal de que trata o art. 1º se dará mensalmente, de acordo com o seguinte procedimento:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 725-725
Art. 2º A apuração do valor da compensação fiscal de que trata o art. 1º se dará mensalmente, de acordo com o seguinte procedimento:","Art. 2º A apuração do valor da compensação fiscal de que trata o art. 1º se dará mensalmente, de acordo com o seguinte procedimento:","decreto; agosto; apuracao; valor; compensacao; fiscal; trata; dara; mensalmente; acordo","True","371","92"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","inciso","Art. 2º, I","Art. 2º","Art. 2º","","I","","","I - parte-se do preço dos serviços de divulgação de mensagens de propaganda comercial, fixados em tabela pública pelo veículo de divulgação, conforme previsto no art. 14 do Decreto n. 57.690, de 1º de fevereiro de 1966, para o mês de veiculação da propaganda partidária e eleitoral, do plebiscito ou referendo;","","[]","0","Decreto n. 57.690","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, I
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 725-725
I - parte-se do preço dos serviços de divulgação de mensagens de propaganda comercial, fixados em tabela pública pelo veículo de divulgação, conforme previsto no art. 14 do Decreto n. 57.690, de 1º de fevereiro de 1966, para o mês de veiculação da propaganda partidária e eleitoral, do plebiscito ou referendo;","I - parte-se do preço dos serviços de divulgação de mensagens de propaganda comercial, fixados em tabela pública pelo veículo de divulgação, conforme previsto no art. 14 do Decreto n. 57.690, de 1º de fevereiro de 1966, para o mês de...","decreto; divulgacao; propaganda; agosto; parte; preco; servicos; mensagens; comercial; fixados","True","577","144"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","inciso","Art. 2º, II","Art. 2º","Art. 2º","","II","","","II - apura-se o “valor do faturamento” com base na tabela a que se refere o inciso anterior, de acordo com o seguinte procedimento:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, II
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 725-725
II - apura-se o “valor do faturamento” com base na tabela a que se refere o inciso anterior, de acordo com o seguinte procedimento:","II - apura-se o “valor do faturamento” com base na tabela a que se refere o inciso anterior, de acordo com o seguinte procedimento:","decreto; agosto; apura; valor; faturamento; base; tabela; refere; inciso; anterior","True","399","99"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","alinea","Art. 2º, II, a)","Art. 2º, II","Art. 2º","","II","a)","","a) parte-se do volume de serviço de divulgação de mensagens de propaganda comercial local efetivamente prestado pelo veículo de divulgação no mês da veiculação da propaganda partidária e eleitoral, do plebiscito ou referendo;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, II, a)
Tipo: alinea
Dispositivo pai: Art. 2º, II
Páginas: 725-725
a) parte-se do volume de serviço de divulgação de mensagens de propaganda comercial local efetivamente prestado pelo veículo de divulgação no mês da veiculação da propaganda partidária e eleitoral, do plebiscito ou referendo;","a) parte-se do volume de serviço de divulgação de mensagens de propaganda comercial local efetivamente prestado pelo veículo de divulgação no mês da veiculação da propaganda partidária e eleitoral, do plebiscito ou referendo;","divulgacao; propaganda; decreto; agosto; parte; volume; servico; mensagens; comercial; local","True","501","125"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","alinea","Art. 2º, II, b)","Art. 2º, II","Art. 2º","","II","b)","","b) classifica-se o volume de serviço da alínea a por faixa de horário, identificando-se o respectivo valor com base na tabela pública para veiculações comerciais locais;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, II, b)
Tipo: alinea
Dispositivo pai: Art. 2º, II
Páginas: 725-725
b) classifica-se o volume de serviço da alínea a por faixa de horário, identificando-se o respectivo valor com base na tabela pública para veiculações comerciais locais;","b) classifica-se o volume de serviço da alínea a por faixa de horário, identificando-se o respectivo valor com base na tabela pública para veiculações comerciais locais;","decreto; agosto; classifica; volume; servico; alinea; faixa; horario; identificando; respectivo","True","445","111"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","alinea","Art. 2º, II, c)","Art. 2º, II","Art. 2º","","II","c)","","c) para cada faixa de horário, multiplica-se o respectivo valor unitário de prestação de serviço pelo volume de serviço a ela relativo; e","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, II, c)
Tipo: alinea
Dispositivo pai: Art. 2º, II
Páginas: 725-725
c) para cada faixa de horário, multiplica-se o respectivo valor unitário de prestação de serviço pelo volume de serviço a ela relativo; e","c) para cada faixa de horário, multiplica-se o respectivo valor unitário de prestação de serviço pelo volume de serviço a ela relativo; e","servico; decreto; agosto; cada; faixa; horario; multiplica; respectivo; valor; unitario","True","413","103"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","alinea","Art. 2º, II, d)","Art. 2º, II","Art. 2º","","II","d)","","d) o somatório dos resultados da multiplicação referida na alínea c, para cada faixa de horário, corresponde ao “valor do faturamento”, com base na tabela pública;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, II, d)
Tipo: alinea
Dispositivo pai: Art. 2º, II
Páginas: 725-725
d) o somatório dos resultados da multiplicação referida na alínea c, para cada faixa de horário, corresponde ao “valor do faturamento”, com base na tabela pública;","d) o somatório dos resultados da multiplicação referida na alínea c, para cada faixa de horário, corresponde ao “valor do faturamento”, com base na tabela pública;","decreto; agosto; somatorio; resultados; multiplicacao; referida; alinea; cada; faixa; horario","True","439","109"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","decreto_7791_2012","Decreto n. 7.791, de 17 de agosto de 2012","","Legislação correlata","Legislação correlata","725","725","","inciso","Art. 2º, III","Art. 2º","Art. 2º","","III","","","III - apura-se o “valor efetivamente faturado” no mês de veiculação da propaganda partidária ou eleitoral com base nos documentos fiscais emitidos pelos serviços de divulgação de mensagens de propaganda comercial local efetivamente prestados;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Decreto n. 7.791, de 17 de agosto de 2012
Macrogrupo: Legislação correlata
Grupo do sumário: Legislação correlata
Dispositivo: Art. 2º, III
Tipo: inciso
Dispositivo pai: Art. 2º
Páginas: 725-725
III - apura-se o “valor efetivamente faturado” no mês de veiculação da propaganda partidária ou eleitoral com base nos documentos fiscais emitidos pelos serviços de divulgação de mensagens de propaganda comercial local efetivamente prestados;","III - apura-se o “valor efetivamente faturado” no mês de veiculação da propaganda partidária ou eleitoral com base nos documentos fiscais emitidos pelos serviços de divulgação de mensagens de propaganda comercial local efetivamente...","efetivamente; propaganda; decreto; agosto; apura; valor; faturado; veiculacao; partidaria; eleitoral","True","511","127"
